"classe", "MaxQ", "MinBER", "Attenuation" 
1, 2483.280171, 0.0, 5.59256
1, 2477.932143, 0.0, 5.65411
1, 2472.574644, 0.0, 5.71567
1, 2467.20777, 0.0, 5.77722
1, 2461.831618, 0.0, 5.83878
1, 2456.446284, 0.0, 5.90033
1, 2451.051866, 0.0, 5.96189
1, 2445.648464, 0.0, 6.02344
1, 2440.236175, 0.0, 6085.0
1, 2434.815099, 0.0, 6.14656
1, 2429.385338, 0.0, 6.20811
1, 2423.946991, 0.0, 6.26967
1, 2418.50016, 0.0, 6.33122
1, 2413.044947, 0.0, 6.39278
1, 2407.581455, 0.0, 6.45433
1, 2402.109787, 0.0, 6.51589
1, 2396.630047, 0.0, 6.57744
1, 2391.14234, 0.0, 6639.0
1, 2385.64677, 0.0, 6.70056
1, 2380.143442, 0.0, 6.76211
1, 2374.632463, 0.0, 6.82367
1, 2369.11394, 0.0, 6.88522
1, 2363.58798, 0.0, 6.94678
1, 2358.054689, 0.0, 7.00833
1, 2352.514177, 0.0, 7.06989
1, 2346.966552, 0.0, 7.13144
1, 2341.411923, 0.0, 7193.0
1, 2335.850399, 0.0, 7.25456
1, 2330.282092, 0.0, 7.31611
1, 2324.70711, 0.0, 7.37767
1, 2319.125566, 0.0, 7.43922
1, 2313.537571, 0.0, 7.50078
1, 2307.943237, 0.0, 7.56233
1, 2302.342676, 0.0, 7.62389
1, 2296.736, 0.0, 7.68544
1, 2291.123324, 0.0, 7747.0
1, 2285.50476, 0.0, 7.80856
1, 2279.880422, 0.0, 7.87011
1, 2274.250426, 0.0, 7.93167
1, 2268.614885, 0.0, 7.99322
1, 2262.973915, 0.0, 8.05478
1, 2257.32763, 0.0, 8.11633
1, 2251.676148, 0.0, 8.17789
1, 2246.019583, 0.0, 8.23944
1, 2240.358052, 0.0, 8301.0
1, 2234.691673, 0.0, 8.36256
1, 2229.020561, 0.0, 8.42411
1, 2223.344835, 0.0, 8.48567
1, 2217.664612, 0.0, 8.54722
1, 2211.980009, 0.0, 8.60878
1, 2206.291144, 0.0, 8.67033
1, 2200.598137, 0.0, 8.73189
1, 2194.901106, 0.0, 8.79344
1, 2189.200168, 0.0, 8855.0
1, 2183.495444, 0.0, 8.91656
1, 2177.787053, 0.0, 8.97811
1, 2172.075113, 0.0, 9.03967
1, 2166.359745, 0.0, 9.10122
