"Classe de Chuva", "MaxQ", "MinBER", "Attenuation", "Distancia" 
3, 67.030646, 0.0, 21.1512, 1km
3, 65.768523, 0.0, 21.2405, 1km
3, 64.528456, 0.0, 21.3297, 1km
3, 63.310115, 0.0, 21.4189, 1km
3, 62.113173, 0.0, 21.5082, 1km
3, 60.937306, 0.0, 21.5974, 1km
3, 59.795541, 0.0, 21.6867, 1km
3, 58.673703, 0.0, 21.7759, 1km
3, 57.570962, 0.0, 21.8652, 1km
3, 56.48707, 0.0, 21.9544, 1km
3, 55.421782, 0.0, 22.0436, 1km
3, 54.374851, 0.0, 22.1329, 1km
3, 53.346029, 0.0, 22.2221, 1km
3, 52.335071, 0.0, 22.3114, 1km
3, 51.34173, 0.0, 22.4006, 1km
3, 50.365762, 0.0, 22.4898, 1km
3, 49.406922, 0.0, 22.5791, 1km
3, 48.464967, 0.0, 22.6683, 1km
3, 47.539654, 0.0, 22.7576, 1km
3, 46.630742, 0.0, 22.8468, 1km
3, 45.73799, 0.0, 22.9361, 1km
3, 44.861161, 0.0, 23.0253, 1km
3, 44.000018, 0.0, 23.1145, 1km
3, 43.154323, 0.0, 23.2038, 1km
3, 42.323845, 0.0, 23.2930, 1km
3, 41.562309, 0.0, 23.3823, 1km
3, 40.849493, 0.0, 23.4715, 1km
3, 40.145242, 0.0, 23.5608, 1km
3, 39.449621, 0.0, 23.65, 1km
2, 145.7953, 0.0, 9.3240, 1.5km
2, 143.383544, 0.0, 9.38037, 1.5km
2, 141.006772, 0.0, 9.43675, 1.5km
2, 138.664594, 0.0, 9.49312, 1.5km
2, 136.356624, 0.0, 9.54949, 1.5km
2, 134.082477, 0.0, 9.60587, 1.5km
2, 131.841769, 0.0, 9.66224, 1.5km
2, 129.634121, 0.0, 9.71862, 1.5km
2, 127.459153, 0.0, 9.77499, 1.5km
2, 125.316488, 0.0, 9.83136, 1.5km
2, 123.205753, 0.0, 9.88774, 1.5km
2, 121.126575, 0.0, 9.94411, 1.5km
2, 119.078584, 0.0, 10.0005, 1.5km
2, 117.061413, 0.0, 10.0569, 1.5km
2, 115.074695, 0.0, 10.1132, 1.5km
2, 113.118068, 0.0, 10.1696, 1.5km
2, 111.191169, 0.0, 10.2260, 1.5km
2, 109.293641, 0.0, 10.2824, 1.5km
2, 107.425127, 0.0, 10.3387, 1.5km
2, 105.585272, 0.0, 10.3951, 1.5km
2, 103.773725, 0.0, 10.4515, 1.5km
2, 101.990136, 0.0, 10.5078, 1.5km
2, 100.234158, 0.0, 10.5642, 1.5km
2, 98.505445, 0.0, 10.6206, 1.5km
2, 96.803656, 0.0, 10.6770, 1.5km
2, 95.128451, 0.0, 10.7333, 1.5km
2, 93.479491, 0.0, 10.7897, 1.5km
2, 91.856442, 0.0, 10.8461, 1.5km
2, 90.258971, 0.0, 10.9025, 1.5km
2, 88.686747, 0.0, 10.9588, 1.5km
2, 87.139443, 0.0, 11.0152, 1.5km
2, 85.616734, 0.0, 11.0716, 1.5km
2, 84.118297, 0.0, 11.1280, 1.5km
2, 82.643811, 0.0, 11.1843, 1.5km
2, 81.19296, 0.0, 11.2407, 1.5km
2, 79.765427, 0.0, 11.2971, 1.5km
2, 78.360901, 0.0, 11.3535, 1.5km
2, 76.979071, 0.0, 11.4098, 1.5km
2, 75.61963, 0.0, 11.4662, 1.5km
2, 74.282274, 0.0, 11.5226, 1.5km
2, 72.966701, 0.0, 11.5789, 1.5km
2, 71.67261, 0.0, 11.6353, 1.5km
2, 70.399705, 0.0, 11.6917, 1.5km
2, 69.147693, 0.0, 11.7481, 1.5km
2, 67.916281, 0.0, 11.8044, 1.5km
2, 66.705181, 0.0, 11.8608, 1.5km
2, 65.514106, 0.0, 11.9172, 1.5km
2, 64.342774, 0.0, 11.9736, 1.5km
2, 63.190903, 0.0, 12.0299, 1.5km
2, 62.058215, 0.0, 12.0863, 1.5km
2, 60.944436, 0.0, 12.1427, 1.5km
2, 59.861855, 0.0, 12.1991, 1.5km
2, 58.797326, 0.0, 12.2554, 1.5km
2, 57.749968, 0.0, 12.3118, 1.5km
2, 56.719569, 0.0, 12.3682, 1.5km
2, 55.705922, 0.0, 12.4246, 1.5km
2, 54.708814, 0.0, 12.4809, 1.5km
2, 53.728037, 0.0, 12.5373, 1.5km
2, 52.763381, 0.0, 12.5937, 1.5km
2, 51.814637, 0.0, 12.6501, 1.5km
2, 50.881595, 0.0, 12.7064, 1.5km
2, 49.964047, 0.0, 12.7628, 1.5km
2, 49.061787, 0.0, 12.8192, 1.5km
2, 48.174607, 0.0, 12.8755, 1.5km
2, 47.302301, 0.0, 12.9319, 1.5km
2, 46.444664, 0.0, 12.9883, 1.5km
2, 45.601492, 0.0, 13.0447, 1.5km
2, 44.772583, 0.0, 13.1010, 1.5km
2, 43.957735, 0.0, 13.1574, 1.5km
2, 43.156747, 0.0, 13.2138, 1.5km
2, 42.369421, 0.0, 13.2702, 1.5km
2, 41.63967, 0.0, 13.3265, 1.5km
2, 40.963167, 0.0, 13.3829, 1.5km
2, 40.294343, 0.0, 13.4393, 1.5km
2, 39.633256, 0.0, 13.4957, 1.5km
2, 38.979956, 0.0, 13.5520, 1.5km
2, 38.334487, 0.0, 13.6084, 1.5km
2, 37.696884, 0.0, 13.6648, 1.5km
2, 37.067177, 0.0, 13.7212, 1.5km
2, 36.445389, 0.0, 13.7775, 1.5km
2, 35.831536, 0.0, 13.8339, 1.5km
2, 35.225786, 0.0, 13.8903, 1.5km
2, 34.631668, 0.0, 13.9466, 1.5km
2, 34.045154, 0.0, 14.0030, 1.5km
2, 33.466258, 0.0, 14.0594, 1.5km
2, 32.894989, 0.0, 14.1158, 1.5km
2, 32.331348, 0.0, 14.1721, 1.5km
2, 31.775332, 0.0, 14.2285, 1.5km
2, 31.226932, 0.0, 14.2849, 1.5km
2, 30.686134, 0.0, 14.3413, 1.5km
2, 30.152921, 0.0, 14.3976, 1.5km
2, 29.627269, 0.0, 14.4540, 1.5km
2, 29.109151, 0.0, 14.5104, 1.5km
2, 28.598536, 0.0, 14.5668, 1.5km
2, 28.095387, 0.0, 14.6231, 1.5km
2, 27.599667, 0.0, 14.6795, 1.5km
2, 27.111332, 0.0, 14.7359, 1.5km
2, 26.630337, 0.0, 14.7923, 1.5km
2, 26.156633, 0.0, 14.8486, 1.5km
2, 25.690169, 0.0, 14.9050, 1.5km
0, 1072.663116, 0.0, 1.2570, 1.5km
0, 1068.328992, 0.0, 1.27736, 1.5km
0, 1064.006695, 0.0, 1.29773, 1.5km
0, 1059.696236, 0.0, 1.31809, 1.5km
0, 1055.397621, 0.0, 1.33845, 1.5km
0, 1051.110858, 0.0, 1.35882, 1.5km
0, 1046.835953, 0.0, 1.37918, 1.5km
0, 1042.572914, 0.0, 1.39955, 1.5km
0, 1038.321747, 0.0, 1.41991, 1.5km
0, 1034.082457, 0.0, 1.44027, 1.5km
0, 1029.855049, 0.0, 1.46064, 1.5km
0, 1025.639527, 0.0, 1.4810, 1.5km
0, 1021.435898, 0.0, 1.50136, 1.5km
0, 1017.244163, 0.0, 1.52173, 1.5km
0, 1013.064328, 0.0, 1.54209, 1.5km
0, 1008.896394, 0.0, 1.56245, 1.5km
0, 1004.740365, 0.0, 1.58282, 1.5km
0, 1000.596242, 0.0, 1.60318, 1.5km
0, 996.464029, 0.0, 1.62355, 1.5km
0, 992.343725, 0.0, 1.64391, 1.5km
0, 988.235333, 0.0, 1.66427, 1.5km
0, 984.138852, 0.0, 1.68464, 1.5km
0, 980.054284, 0.0, 1.7050, 1.5km
0, 975.981628, 0.0, 1.72536, 1.5km
0, 971.920884, 0.0, 1.74573, 1.5km
