"classe", "MaxQ", "MinBER", "Attenuation" 
1, 121.03299, 0.0, 4.23833
1, 117.331478, 0.0, 4.29989
1, 113.73099, 0.0, 4.36144
1, 110.22934, 0.0, 4423.0
1, 106.824366, 0.0, 4.48456
1, 103.513931, 0.0, 4.54611
1, 100.295926, 0.0, 4.60767
1, 97.168264, 0.0, 4.66922
1, 94.128888, 0.0, 4.73078
1, 91.175766, 0.0, 4.79233
1, 88.306891, 0.0, 4.85389
1, 85.520287, 0.0, 4.91544
1, 82.814003, 0.0, 4977.0
1, 80.186116, 0.0, 5.03856
1, 77.634732, 0.0, 5.10011
1, 75.157984, 0.0, 5.16167
1, 72.754036, 0.0, 5.22322
1, 70.421077, 0.0, 5.28478
1, 68.157329, 0.0, 5.34633
1, 65.961042, 0.0, 5.40789
1, 63.830493, 0.0, 5.46944
1, 61.763992, 0.0, 5531.0
1, 59.773486, 0.0, 5.59256
1, 57.851582, 0.0, 5.65411
1, 55.985917, 0.0, 5.71567
1, 54.175226, 0.0, 5.77722
1, 52.418244, 0.0, 5.83878
1, 50.713709, 0.0, 5.90033
1, 49.060366, 0.0, 5.96189
1, 47.456967, 0.0, 6.02344
1, 45.902271, 0.0, 6085.0
1, 44.395054, 0.0, 6.14656
1, 42.934099, 0.0, 6.20811
1, 41.571055, 0.0, 6.26967
1, 40.347047, 0.0, 6.33122
1, 39.148643, 0.0, 6.39278
1, 37.976134, 0.0, 6.45433
1, 36.829731, 0.0, 6.51589
1, 35.709574, 0.0, 6.57744
1, 34.619802, 0.0, 6639.0
1, 33.558388, 0.0, 6.70056
1, 32.522224, 0.0, 6.76211
1, 31.511315, 0.0, 6.82367
1, 30.525609, 0.0, 6.88522
1, 29.564996, 0.0, 6.94678
1, 28.62932, 0.0, 7.00833
1, 27.71838, 0.0, 7.06989
1, 26.831933, 0.0, 7.13144
1, 25.969701, 0.0, 7193.0
1, 25.131372, 0.0, 7.25456
1, 24.316607, 0.0, 7.31611
1, 23.525041, 0.0, 7.37767
1, 22.756287, 0.0, 7.43922
1, 22.009938, 0.0, 7.50078
1, 21.285573, 0.0, 7.56233
